fid,UPRN,Site Name,Address,Easting,Northing,Ward,Lease Information,Site Function,Sub Function,Function Detail
"1","10091144641","Car Park Bounded By Trinity Way, A6402 And The River Irwell, Water Street"," Car Park Bounded By Trinity Way, A6402,  River Irwell, Water Street,","382812","397838",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"2","10091145877",Land For Car Park Potato Wharf,"Land For Car Park, Potato Wharf,","383017","397735",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"3","10023047744",Car Parking Spaces Rear Of 17 Ellesmere Street,"Car Parking Spaces Rear Of 17, Ellesmere Street,M15 4JY","382685","397193",Hulme,Leasehold,Non-Operational,Investment,Car Parking
"4","10023051981",Castlefield Estates Ltd Car Park & Land under the Arches at Duke Street,"Castlefield Estates Ltd Car Park & Land under the Arches at, Duke Street,M3 4NF","383140","397597",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"5","10091145307",Land Rear Of 31 To 35 Bury New Road Cheetwood Street,"Land Rear Of 31 To 35 Bury New Road, Cheetwood Street,M8 8EQ","383482","399640",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"6","10091145454",Land Adjacent To 5 Sagar Street Sagar Street,"Land Adjacent To 5 Sagar Street, Sagar Street,","383513","399747",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"7","10093073154",Land At Sagar Street,"Land At, Sagar Street,","383512","399720",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"8","10093075555",Car Park Dewhurst Street,"Car Park Dewhurst Street, ","383552","399681",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"9","10090669820","Car Park, Langston Street","Car Park, Langston Street,","383548","399412",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"10","10090669829",Car Park At Julia Street Junction,"Car Park At Julia Street Junction, Mary Street,","383618","399269",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"11","10091145393",Land at Thompson Street,"Thompson Street Land at, Cheetham,","383537","399451",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"12","10023047555",NCP Car Park Bridge Street,"Car Park Adjacent Albert Bridge House, Bridge Street,M3 2RE","383383","398367",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"13","10023050079",Car Park  At Junction Of The Parsonage And King Street West,"Car Park Junction Of The Parsonage, King Street West,M3 2ZZ","383572","398363",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"14","10023048465","NCP Car Park, Stone Street","Car Park, Stone Street,M3 4NE","383261","397729",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"15","10023061705",St Johns Court,"St Johns Court, Young Street,M3 3FT","383265","398097",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"16","10090668718","Bridgewater Car Park, Little Peter Street","Bridgewater Car Park, Little Peter Street,M15 4PS","383562","397423",Deansgate,Unavailable,Non-Operational,Other,Car Parking
"17","10091145317",Land at the rear of 380 Deansgate,"Land at the rear of  380, Deansgate,M3 4LY","383310","397541",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"18","10023052517","Car Park Adjacent To Moss Side Retail Market, Denhill Road","Car Park Adjacent Moss Side Retail Market, Denhill Road,M15 5LF","383663","395946",Hulme,Leasehold,Non-Operational,Investment,Car Parking
"19",010090423975-CARPARK,Moss Side Underground Car Park,"Moss Side Underground Car Park, Denhill Road,Hulme,M15 5LF","383663","395946",Hulme,Occupied by the local authority,Operational,Direct Service,Off-Street Car Park
"20","10093690280",Land Adjacent To Al-Sunnah Mosque Lanbury Drive,"Land Adjacent To Al-Sunnah Mosque, Lanbury Drive,","383898","401111",Cheetham,Leasehold,Non-Operational,Other,Car Parking
"21","77102096",Glentop House (and Car Park),"Glentop House (and Car Park), Pimblett Street,M3 1FU","383914","399343",Cheetham,Ground Leasehold,Non-Operational,Investment,Car Parking
"22","10090668266","Car Park, Great Ducie Street","Car Park, Great Ducie Street,M3 1WB","383810","399216",Cheetham,Ground Leasehold,Non-Operational,Investment,Car Parking
