fid,id,left,top,right,bottom,name,latitude,longitude,latitude_touch
"43","43",383181.7767,398134.6219,383681.7767,397634.6219,Manchester Central (GMEX) ,53.475385,-2.247578,53.47630888
"43","43",383181.7767,398134.6219,383681.7767,397634.6219,Manchester Central (GMEX) ,53.475385,-2.247578,53.47630888
"62","62",383681.7767,397134.6219,384181.7767,396634.6219,MMU - Cambridge Quad,53.469243,-2.240341,53.47046038
"76","76",384181.7767,398634.6219,384681.7767,398134.6219,Church Street - NCP Car Park ,53.483399,-2.235825,53.47997013
"76","76",384181.7767,398634.6219,384681.7767,398134.6219,Church Street - NCP Car Park ,53.483399,-2.235825,53.47997013
"76","76",384181.7767,398634.6219,384681.7767,398134.6219,Church Street - NCP Car Park ,53.483399,-2.235825,53.47997013
"43","43",383181.7767,398134.6219,383681.7767,397634.6219,Great Northern City - NCP Car Park ,53.4769,-2.249651,53.47630888
"43","43",383181.7767,398134.6219,383681.7767,397634.6219,Great Northern City - NCP Car Park ,53.4769,-2.249651,53.47630888
"43","43",383181.7767,398134.6219,383681.7767,397634.6219,Great Northern City - NCP Car Park ,53.4769,-2.249651,53.47630888
"76","76",384181.7767,398634.6219,384681.7767,398134.6219,The Grand - NCP Car Park ,53.479736,-2.234103,53.47997013
"76","76",384181.7767,398634.6219,384681.7767,398134.6219,The Grand - NCP Car Park ,53.479736,-2.234103,53.47997013
"76","76",384181.7767,398634.6219,384681.7767,398134.6219,The Grand - NCP Car Park ,53.479736,-2.234103,53.47997013
"61","61",383681.7767,397634.6219,384181.7767,397134.6219,Manchester Metropolitan University - Science Building (Entryway),53.471409,-2.240173,53.47433175
"115","115",385181.7767,396134.6219,385681.7767,395634.6219,NHS - University Hospitals Foundation Trust,53.459386,-2.221593,53.46391260
"94","94",384681.7767,398134.6219,385181.7767,397634.6219,Store Street (City Centre),53.479179,-2.228218,53.48103025
"61","61",383681.7767,397634.6219,384181.7767,397134.6219,Hulme Street (City Centre),53.471863,-2.244521,53.47433175
"119","119",385181.7767,394134.6219,385681.7767,393634.6219,Egerton Road,53.439902,-2.218197,53.44805100
"46","46",383181.7767,396634.6219,383681.7767,396134.6219,Phoenix Way,53.464171,-2.248346,53.46762925
"131","131",385681.7767,396634.6219,386181.7767,396134.6219,Ardwick Sports Hall,53.464504,-2.212614,53.45928333
"164","164",386681.7767,397134.6219,387181.7767,396634.6219,Wenlock Way,53.468853,-2.198175,
"77","77",384181.7767,398134.6219,384681.7767,397634.6219,Waterloo Street (City Centre),53.476579,-2.239554,53.47999913
"93","93",384681.7767,398634.6219,385181.7767,398134.6219,70 Port Street,53.482258,-2.231132,53.48064538
"93","93",384681.7767,398634.6219,385181.7767,398134.6219,34 Laystall Street,53.481141,-2.227947,53.48064538
"94","94",384681.7767,398134.6219,385181.7767,397634.6219,Travis Street,53.475928,-2.228712,53.48103025
"24","24",382681.7767,399134.6219,383181.7767,398634.6219,Cleminson Street Car Park,53.484648,-2.258015,53.48439150
"20","20",382681.7767,401134.6219,383181.7767,400634.6219,Broughton Hub,53.504843,-2.25871,53.50707725
"42","42",383181.7767,398634.6219,383681.7767,398134.6219,Quay Street,53.483388,-2.252597,53.47956363
"42","42",383181.7767,398634.6219,383681.7767,398134.6219,Quay Street,53.483388,-2.252597,53.47956363
"8","8",382181.7767,398634.6219,382681.7767,398134.6219,Crescent House (lay-by) A6 Crescent,53.483265,-2.26958,53.48178067
"79","79",384181.7767,397134.6219,384681.7767,396634.6219,Booth Street West MSCP (Ground Floor),53.467362,-2.236971,53.46952637
"61","61",383681.7767,397634.6219,384181.7767,397134.6219,John Dalton Car Park (All Saints Campus),53.474251,-2.244031,53.47433175
"41","41",383181.7767,399134.6219,383681.7767,398634.6219,Blackfriars Road,53.487445,-2.252847,53.48396750
"25","25",382681.7767,398634.6219,383181.7767,398134.6219,Blackfriars Street,53.482946,-2.255382,53.47911175
"71","71",384181.7767,401134.6219,384681.7767,400634.6219,Abraham Moss Leisure Centre,53.504557,-2.236365,
